domain_id,topic_id,assertion_type,source_class,evidence_contract,sharing_mode,coverage_state,owner_service,gap_note
civic-government-public-records,public-procurement,entity_identity,official-registry,source_evidence+document_citation,aggregate_eligible,planned,services/canon,Need source registry entries and ingest adapter mapping
companies-kyb-entity-intelligence,company-registry,entity_identity,official-registry,source_evidence+provenance,aggregate_eligible,planned,services/canon,Need OpenCorporates/GLEIF/SEC/SAM source rows
companies-kyb-entity-intelligence,ownership-control,ownership_or_control,official-or-licensed-registry,document_citation+policy_decision,aggregate_eligible,planned,services/canon,Need ownership confidence and admissibility method
markets-macro-finance,macro-series,numeric_metric,official-api,source_evidence+method+temporal_validity,aggregate_eligible,planned,services/canon,Need FRED/BEA/BLS/Census source rows
legal-regulatory-compliance,regulatory-status,legal_or_policy_status,official-document,document_citation+policy_decision,aggregate_eligible,planned,services/canon,Need legal citation and policy status contract outside GAIA
geospatial-environment-infrastructure,world-claim,location_or_geometry,official-or-community-geo-source,geo_anchor+source_evidence+uncertainty,aggregate_eligible,contract_defined,services/canon,GAIA has world-claim discipline; Canon needs generalized coverage binding
cyber-vulnerability-supply-chain-risk,vulnerability-prioritization,risk_or_score,official-advisory-or-open-feed,source_evidence+method+policy_decision,benchmark_eligible,planned,services/canon,Need NVD/OSV/CISA/vendor advisory source rows and exploitability method
research-patents-science,scholarly-work,document_citation,open-research-index,source_ref+document_span+attribution,aggregate_eligible,planned,services/canon,Need OpenAlex/Crossref/USPTO source rows
healthcare-life-sciences,clinical-trials,event_or_observation,official-api,source_evidence+temporal_validity+provenance,research_eligible,planned,services/canon,Need sensitive-domain controls and source rows
commodities-trade-logistics,trade-flow,numeric_metric,official-statistical-source,source_evidence+method+temporal_validity,aggregate_eligible,planned,services/canon,Need EIA/Comtrade/AIS source rows and method boundaries
ai-model-governance-evaluation,model-eval,model_or_eval_result,internal-eval-receipt,artifact_ref+eval_receipt+provenance,benchmark_eligible,planned,services/canon,Need model governance ledger binding
internal-workspace-repo-service-estate,repo-estate,provenance_lineage,workspace-inventory,coverage_matrix_ref+runtime_receipt,aggregate_eligible,source_identified,sociosphere,Canonical repo estate exists but is not yet Canon coverage
internal-workspace-repo-service-estate,service-register,coverage_gap,service-register,coverage_matrix_ref+method+timestamp,aggregate_eligible,source_identified,sociosphere,SocioSphere has service register artifacts but Canon binding not yet created
